Date,Open,High,Low,Close,Adj Close,Volume
2013-03-01,70.000000,72.290001,68.760002,68.790001,46.323009,3039700
2013-04-01,69.129997,72.239998,67.080002,71.239998,48.482960,3296500
2013-05-01,71.190002,73.570000,69.879997,72.389999,49.265610,3373900
2013-06-01,72.660004,74.959999,66.389999,68.870003,46.870049,2753800
2013-07-01,69.190002,72.489998,65.150002,69.669998,47.906673,2956000
2013-08-01,70.330002,72.489998,65.970001,66.269997,45.568764,2038500
2013-09-01,66.839996,70.110001,64.440002,69.000000,47.445980,1802800
2013-10-01,69.199997,83.400002,65.959999,82.070000,57.083454,2974700
2013-11-01,82.059998,85.739998,79.349998,84.129997,58.516277,1689100
2013-12-01,84.849998,85.320000,81.220001,83.550003,58.112865,1783500
2014-01-01,83.440002,84.800003,76.529999,77.809998,54.612312,1245500
2014-02-01,77.919998,84.839996,74.209999,83.750000,58.781399,3248700
2014-03-01,85.389999,85.730003,77.419998,78.070000,54.794811,3333700
2014-04-01,78.480003,80.290001,74.070000,75.809998,53.692295,2301600
2014-05-01,78.000000,82.739998,76.580002,79.389999,56.227810,2326700
2014-06-01,79.959999,82.750000,78.860001,79.489998,56.298626,3092500
2014-07-01,79.989998,84.709999,74.930000,81.050003,57.941471,2828100
2014-08-01,81.160004,84.900002,79.709999,83.199997,59.478462,1978200
2014-09-01,83.610001,84.989998,78.830002,81.589996,58.327499,2976600
2014-10-01,81.730003,91.110001,77.080002,88.959999,64.171906,5680200
2014-11-01,88.779999,99.800003,87.839996,99.330002,71.652382,4085300
2014-12-01,98.449997,104.129997,95.650002,103.639999,74.761444,5017800
2015-01-01,103.930000,110.120003,100.160004,106.750000,77.689247,3769100
2015-02-01,106.779999,114.230003,103.559998,108.529999,78.984650,3696900
2015-03-01,107.800003,109.260002,103.199997,107.010002,77.878448,4818400
2015-04-01,106.730003,107.070000,95.639999,96.430000,70.761673,3903500
2015-05-01,96.430000,98.989998,93.980003,97.599998,71.620232,3672000
2015-06-01,97.570000,100.320000,96.769997,99.089996,72.713631,3200500
2015-07-01,99.599998,104.660004,96.720001,104.010002,77.006470,3293800
2015-08-01,104.559998,106.089996,93.139999,95.500000,70.705864,3158800
2015-09-01,94.080002,95.839996,89.519997,91.660004,67.862823,2599400
2015-10-01,91.279999,92.779999,83.379997,83.449997,62.363228,5313300
2015-11-01,83.400002,86.410004,80.559998,84.839996,63.402008,3186000
2015-12-01,85.139999,86.959999,82.559998,84.669998,63.274975,3171600
2016-01-01,83.959999,85.309998,77.360001,84.919998,64.157265,3513500
2016-02-01,84.739998,98.820000,79.330002,91.470001,69.105797,4689000
2016-03-01,91.949997,95.250000,90.620003,93.430000,70.586594,4120900
2016-04-01,92.970001,94.300003,85.489998,86.000000,65.622597,4855000
2016-05-01,86.459999,88.410004,80.070000,84.059998,64.142258,5909100
2016-06-01,84.089996,86.010002,80.599998,84.779999,64.691689,4560900
2016-07-01,84.529999,85.790001,80.010002,81.370003,62.773670,3844900
2016-08-01,81.400002,82.500000,75.050003,77.989998,60.166142,3900700
2016-09-01,78.209999,82.730003,76.300003,79.190002,61.091900,4345500
2016-10-01,78.860001,80.800003,77.550003,79.099998,61.744530,2616800
2016-11-01,78.150002,88.000000,76.360001,83.580002,65.241570,3605900
2016-12-01,83.589996,87.699997,76.750000,77.000000,60.105289,4101900
2017-01-01,77.290001,78.150002,66.900002,68.580002,54.152756,4594200
2017-02-01,68.559998,69.139999,58.160000,59.820000,47.235615,7831100
2017-03-01,55.950001,57.450001,49.529999,54.419998,42.971619,12199000
2017-04-01,54.520000,57.310001,53.500000,56.540001,45.449829,4684000
2017-05-01,56.700001,57.029999,45.200001,45.750000,36.776253,7246100
2017-06-01,45.840000,48.470001,42.369999,44.049999,35.409706,7277800
2017-07-01,44.380001,45.599998,40.139999,41.139999,33.791843,4247000
