Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,85.440002,88.370003,80.849998,84.839996,81.409409,1690900
2021-03-15,85.629997,91.349998,83.970001,89.620003,85.996132,2548600
2021-03-22,90.480003,92.980003,81.029999,92.690002,88.941986,2572700
2021-03-29,92.900002,93.360001,86.750000,91.349998,87.656166,1208100
2021-04-05,92.989998,93.980003,87.839996,93.970001,90.170235,1848600
2021-04-12,94.000000,95.320000,90.989998,92.339996,88.606140,1411100
2021-04-19,92.959999,93.639999,87.680000,91.129997,87.445061,1136200
2021-04-26,92.500000,98.750000,89.650002,96.650002,92.741859,1440500
2021-05-03,97.330002,99.599998,93.250000,98.959999,94.958458,1631500
2021-05-10,98.959999,100.699997,89.220001,97.169998,93.240837,1382500
2021-05-17,96.760002,99.900002,92.620003,92.709999,88.961174,1199400
2021-05-24,94.000000,95.410004,90.889999,94.949997,91.110603,973000
2021-05-31,95.989998,95.989998,89.190002,91.250000,87.560219,751500
2021-06-07,91.540001,98.199997,91.250000,92.830002,89.076340,839000
2021-06-14,92.910004,93.480003,85.650002,85.830002,82.359375,1101600
2021-06-21,86.059998,91.680000,85.000000,88.750000,85.161308,1623500
2021-06-28,88.769997,91.300003,85.599998,88.519997,84.940598,842500
2021-07-05,88.570000,88.699997,81.320000,86.150002,82.666443,776600
2021-07-12,85.779999,88.639999,81.949997,82.000000,78.684250,724900
2021-07-19,79.169998,81.809998,74.660004,78.239998,75.076279,1238200
2021-07-26,78.269997,82.089996,76.650002,77.470001,74.337425,789900
2021-08-02,77.930000,80.989998,75.639999,77.989998,74.836395,1125900
2021-08-09,77.660004,78.230003,73.150002,77.360001,74.231865,1297300
2021-08-16,76.610001,77.980003,70.040001,72.400002,69.472435,1063000
2021-08-23,73.639999,85.000000,72.769997,83.339996,79.970062,1279700
2021-08-30,83.139999,84.680000,78.800003,81.449997,78.156487,1218600
2021-09-06,81.139999,81.839996,78.680000,78.790001,75.604057,607700
2021-09-13,79.540001,81.879997,77.000000,81.169998,77.887810,998000
2021-09-20,79.510002,87.620003,78.290001,86.120003,82.637657,980100
2021-09-27,87.099998,89.019997,81.040001,86.860001,83.347733,939800
2021-10-04,86.339996,87.839996,83.209999,83.410004,80.037239,759900
2021-10-11,83.599998,84.900002,79.760002,80.099998,76.861069,617600
2021-10-18,79.129997,85.160004,78.000000,82.120003,78.799408,1114300
2021-10-25,82.290001,86.830002,81.370003,84.510002,81.092758,965100
2021-11-01,85.080002,95.000000,79.349998,93.430000,89.652069,2337800
2021-11-08,93.459999,93.459999,83.580002,86.230003,82.743202,1173100
2021-11-15,86.830002,86.830002,79.180000,79.690002,76.467667,1220500
2021-11-22,80.400002,81.070000,73.440002,75.730003,72.667793,893700
2021-11-29,77.300003,77.320000,69.910004,74.860001,71.832962,1550700
2021-12-06,76.309998,82.019997,75.849998,79.900002,76.669174,873400
2021-12-13,78.820000,78.820000,70.139999,74.769997,71.746597,1481300
2021-12-20,73.279999,82.120003,72.070000,82.099998,79.218239,919700
2021-12-27,80.940002,82.010002,75.209999,75.809998,73.149025,1796500
2022-01-03,76.400002,81.599998,76.129997,76.790001,74.094627,1331500
2022-01-10,76.529999,78.309998,71.059998,72.260002,69.723633,1289600
2022-01-17,71.629997,72.430000,62.060001,62.750000,60.547440,1840700
2022-01-24,61.680000,69.620003,61.380001,66.209999,63.885983,1840100
2022-01-31,65.129997,74.230003,65.129997,72.559998,70.013100,1547400
2022-02-07,72.260002,79.940002,72.260002,76.510002,73.824455,1061700
2022-02-14,76.720001,83.180000,76.269997,80.120003,77.307739,1362300
2022-02-21,81.110001,84.139999,76.680000,84.089996,81.138390,1347700
2022-02-28,83.709999,84.139999,68.239998,70.080002,67.620155,2702500
2022-03-07,69.900002,74.360001,62.860001,71.860001,69.337669,2559800
2022-03-14,72.040001,79.230003,70.959999,78.779999,76.014771,1343300
2022-03-21,78.180000,79.360001,73.820000,75.029999,72.827492,1336500
2022-03-28,75.150002,80.389999,73.410004,75.589996,73.371056,1161500
2022-04-04,75.320000,76.860001,69.300003,71.160004,69.071106,939300
2022-04-11,70.910004,74.980003,70.389999,73.750000,71.585075,806100
2022-04-18,73.129997,78.400002,72.589996,75.419998,73.206055,737000
2022-04-25,74.629997,77.349998,71.440002,71.690002,69.585548,657100
2022-05-02,71.160004,75.610001,69.599998,74.250000,72.070404,1447700
2022-05-09,72.660004,76.489998,66.790001,75.570000,73.351654,1849800
2022-05-16,74.949997,75.769997,66.099998,67.230003,65.256485,1701800
2022-05-23,68.010002,77.639999,64.820000,76.080002,73.846687,1510000
2022-05-30,75.099998,75.540001,72.110001,74.110001,71.934509,701800
2022-06-06,74.459999,75.739998,71.400002,71.680000,69.575844,755800
2022-06-13,68.169998,70.139999,63.590000,67.129997,65.159393,1406200
2022-06-20,68.580002,69.000000,61.299999,67.709999,66.211487,1125700
2022-06-27,68.290001,70.400002,63.000000,67.489998,65.996361,1105600
2022-07-04,66.330002,70.269997,65.470001,67.669998,66.172371,552200
2022-07-11,67.150002,68.989998,63.700001,67.779999,66.279930,783000
2022-07-18,68.610001,71.099998,66.370003,67.540001,66.045250,1001000
2022-07-25,68.000000,71.410004,64.400002,71.309998,69.731804,815200
2022-08-01,70.919998,75.239998,70.279999,70.550003,68.988632,805800
2022-08-08,70.739998,76.949997,70.489998,75.160004,73.496613,1349100
2022-08-15,74.889999,76.510002,72.540001,73.120003,71.501762,1006300
2022-08-22,72.169998,75.110001,69.750000,70.010002,68.460587,834300
2022-08-29,69.099998,70.250000,65.500000,68.209999,66.700417,926100
2022-09-05,68.760002,72.669998,64.559998,71.970001,70.377213,953900
2022-09-12,72.989998,75.760002,70.500000,72.250000,70.651016,1472200
2022-09-19,71.930000,74.010002,61.410000,62.919998,61.527493,1198300
2022-09-26,62.380001,65.300003,61.029999,63.560001,62.595181,842700
2022-10-03,64.040001,69.449997,61.849998,65.809998,64.811020,1127300
2022-10-10,66.440002,69.839996,63.490002,66.980003,65.963264,863700
2022-10-17,68.290001,71.500000,67.790001,69.760002,68.701065,871700
2022-10-24,70.459999,74.220001,66.290001,73.519997,72.403984,1235800
2022-10-31,73.080002,76.120003,68.449997,72.860001,71.754005,1746200
2022-11-07,73.410004,75.470001,70.239998,75.010002,73.871376,1437200
2022-11-14,74.769997,75.989998,71.239998,73.769997,72.650185,1188100
2022-11-21,73.410004,74.470001,70.879997,74.199997,73.073669,636300
2022-11-28,73.529999,75.370003,71.970001,72.949997,71.842636,1112400
2022-12-05,72.440002,72.639999,67.150002,69.220001,68.169258,901900
2022-12-12,69.080002,71.040001,65.849998,67.180000,66.160225,1396000
2022-12-19,67.150002,67.150002,63.389999,65.389999,64.397400,1287400
2022-12-26,65.470001,65.519997,63.470001,64.599998,64.106056,834600
2023-01-02,65.269997,68.580002,64.750000,68.250000,67.728149,937500
2023-01-09,68.610001,76.070000,68.150002,76.050003,75.468506,1037000
2023-01-16,75.570000,76.730003,73.660004,76.709999,76.123459,805600
2023-01-23,77.139999,79.760002,73.660004,76.900002,76.312012,1218300
2023-01-30,76.400002,81.389999,74.220001,80.480003,79.864639,1353900
2023-02-06,80.400002,81.489998,76.250000,76.790001,76.202850,910700
2023-02-13,76.720001,82.430000,76.260002,81.459999,80.837143,1453600
2023-02-20,80.309998,81.680000,77.519997,78.019997,77.423439,1024600
2023-02-27,78.629997,78.989998,71.300003,74.940002,74.366997,1970500
2023-03-06,75.000000,75.279999,73.019997,73.739998,73.176170,344400
